BOTTLE,20080509JAMSTEC
EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDDPT,CTDDPT_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,FLUOR,FLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLWELSH,CHLWELSH_W,PPHYTN,PPHYTN_FLAG_W,XMISS,XMISS_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PH,PH_FLAG_W,PH_TMP,PH_SCALE,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,M,,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UG/L,,MG/CUM,,MG/CUM,,MG/CUM,,%TRANS,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,25_DEG,,DEG_C,,DEG C,KG/CUM
     49MR02K01, EQPAC,  C014,2,22,22,1,20020123,2204,0,-160.0003,5164,100,2,101,2,27.401,2,35.434,2,-999,9,182.38,2,-999,9,0.4,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.38,22.92
     49MR02K01, EQPAC,  C014,2,23,23,1,20020123,2204,0,-160.0003,5164,121,2,121,2,27.088,2,35.399,2,-999,9,177.34,2,-999,9,0.2,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.06,23
     49MR02K01, EQPAC,  C014,2,24,24,1,20020123,2204,0,-160.0003,5164,51,2,52,2,27.862,2,35.435,2,-999,9,181.18,2,-999,9,0.6,1,0.19,2,0.24,2,0.13,2,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.85,22.77
     49MR02K01, EQPAC,  C014,3,0,0,1,20020124,407,-0.0395,-160.0135,5132,-999,9,-999,9,28,2,-999,9,-999,9,-999,9,-999,9,-999,9,0.16,2,0.19,2,0.09,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
     49MR02K01, EQPAC,  C014,3,1,1,1,20020124,407,-0.0395,-160.0135,5132,20,2,20,2,27.935,2,35.436,2,-999,9,182.39,2,-999,9,0.5,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.93,22.75
     49MR02K01, EQPAC,  C014,3,2,2,1,20020124,407,-0.0395,-160.0135,5132,41,2,41,2,27.924,2,35.434,2,-999,9,182.27,2,-999,9,0.6,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.91,22.75
     49MR02K01, EQPAC,  C014,3,3,3,1,20020124,407,-0.0395,-160.0135,5132,59,2,59,2,27.782,2,35.438,2,-999,9,181.26,2,-999,9,0.7,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.77,22.8
     49MR02K01, EQPAC,  C014,3,4,4,1,20020124,407,-0.0395,-160.0135,5132,80,2,81,2,27.424,2,35.43,2,-999,9,181.99,2,-999,9,0.4,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.41,22.91
     49MR02K01, EQPAC,  C014,3,5,5,1,20020124,407,-0.0395,-160.0135,5132,99,2,100,2,27.372,2,35.417,2,-999,9,181.34,2,-999,9,0.4,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.35,22.92
     49MR02K01, EQPAC,  C014,3,6,6,1,20020124,407,-0.0395,-160.0135,5132,119,2,119,2,26.8,2,35.38,2,-999,9,167.94,2,-999,9,0.1,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,26.77,23.08
